課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Business Analytics with Excel: Elementary to Advanced,4.8 out of 5 stars,3.9K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-excel,6 modules,"Financial Analysis, Business Modeling, Business Analytics, Analysis, Risk Modeling, Operations Research, Data Modeling, Predictive Analytics, Statistical Methods, Mathematical Modeling, Resource Allocation, Business Process Modeling, Risk Analysis, Statistical Analysis, Complex Problem Solving, Process Optimization, Regression Analysis, Microsoft Excel, Linear Algebra, Transportation Operations",Introduction to Excel: Basics and Best Practices | What-If Analysis in Excel | Decision Analysis through Regression and NPV | Linear Programming | Transportation and Assignment Problems | Integer Programming and Nonlinear Programming,"Joseph W. Cutrone, PhD, Johns Hopkins University",Starts Jul 17,Flexible schedule,Approx. 23 hours.Learn at your own pace
"Conditional Formatting, Tables and Charts in Microsoft Excel",4.7 out of 5 stars,222 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/conditional-formatting-tables-charts-microsoft-excel,,"Data Analysis Software, Spreadsheet Software, Data Analysis, Exploratory Data Analysis, Pivot Tables And Charts, Data Literacy, Data Visualization Software, Microsoft Excel",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Create a Project Management Tracker using Microsoft Excel,4.6 out of 5 stars,839 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-project-management-tracker-microsoft-excel,,"Project Management Software, Project Management, Project Coordination, Microsoft Excel, Project Planning, Productivity Software, Collaborative Software, Spreadsheet Software, Data Validation",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
"Finding, Sorting, & Filtering Data in Microsoft Excel",4.7 out of 5 stars,444 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/finding-sorting-filtering-data-microsoft-excel,,"Spreadsheet Software, Data Analysis Expressions (DAX), Data Entry, Business Intelligence, Microsoft Excel",,"Judy Richardson, Coursera Project Network",,1 hour,Learn at your own pace
Introduction to Microsoft Excel,4.6 out of 5 stars,43 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-microsoft-excel,,"Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Productivity Software, Data Entry, Data Manipulation, Data Management, Expense Management, Inventory Management System, Business Analysis, Budgeting",,"Kim Webb, Coursera Project Network",,1.5 hours,Learn at your own pace
Microsoft Power BI Data Analyst,4.6 out of 5 stars,7.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,,"Database Design, Power BI, Microsoft Power Platform, Data Storage, Data Collection, Business Intelligence, Data Visualization, Microsoft Excel, Data Quality, Statistical Visualization, Advanced Analytics, SQL","Preparing  Data for Analysis with Microsoft Excel | Harnessing the Power of Data with Power BI | Extract, Transform and Load Data in Power BI | Data Modeling in Power BI | Data Analysis and Visualization with Power BI | Creative Designing in Power BI | Deploy and Maintain Power BI Assets and Capstone project | Microsoft PL-300 Exam Preparation and Practice",,Starts Jul 17,Flexible schedule,"5 months, 10 hours. a weekLearn at your own pace"
Everyday Excel,4.7 out of 5 stars,3.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/everyday-excel,,"Predictive Modeling, Data Management, Data Import/Export, Financial Modeling, Data Visualization, Cash Flows, Financial Analysis, Microsoft Excel, Data Validation, Excel Formulas, Analysis, Microsoft Word","Everyday Excel, Part 1 | Everyday Excel, Part 2 | Everyday Excel, Part 3 (Projects)","Charlie Nuttelman, University of Colorado Boulder",Starts Jul 17,1 month,at 10 hours. a week
How to Use Lookup Reference Math and Text Functions in Excel,4.4 out of 5 stars,468 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/how-use-lookup-reference-math-text-functions-excel,,"Spreadsheet Software, Data Validation, Microsoft Excel",,"Summer Scaggs, Coursera Project Network",,1.5 hours,Learn at your own pace
Excel Skills for Business: Essentials,4.9 out of 5 stars,50K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-essentials,7 modules,"Spreadsheet Software, Excel Formulas, Data Visualization, Data Entry, Productivity Software, Data Management, Microsoft Excel",Critical Core of Excel | Performing calculations | Formatting | Working with Data | Printing | Charts | Final Assessment,"Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University",Starts Jul 17,Flexible schedule,Approx. 26 hours.Learn at your own pace
From Excel to Power BI,4.5 out of 5 stars,1.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/from-excel-to-power-bi,6 modules,"Data Cleansing, Data Transformation, Interactive Data Visualization, Data Analysis, Exploratory Data Analysis, Dashboard, Power BI, Data Visualization, Business Intelligence, Key Performance Indicators (KPIs), Data Sharing, Data Modeling, Business Analytics, Data Manipulation, Data Import/Export, Microsoft Excel, Data Visualization Software, Data Presentation, Microsoft Power Platform",Introduction to Power BI | Import and Clean Excel Data in Power BI | Model and Visualize Data in Power BI | Work with Different Types of Visualizations | Work with Dashboards in Power BI Online | Cumulative Assessment,"Keith Gibson, Knowledge Accelerators",Starts Jul 17,Flexible schedule,Approx. 3 hours.Learn at your own pace
Excel Skills for Data Analytics and Visualization,4.8 out of 5 stars,5.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel-data-analytics-visualization,,"Pivot Tables And Charts, Power BI, Data Analysis Expressions (DAX), Data Analysis Software, Infographics, Data Visualization, Dashboard, Data Cleansing, Microsoft Excel, Data Validation, Excel Formulas, Data Transformation",Excel Fundamentals for Data Analysis | Data Visualization in Excel | Excel Power Tools for Data Analysis,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Macquarie University",Starts Jul 17,1 month,at 10 hours. a week
A Comprehensive Excel Masterclass,4.8 out of 5 stars,61 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/illinois-tech-a-comprehensive-excel-masterclass-unleashing-business-potential,4 modules,"Pivot Tables And Charts, Data Analysis, Financial Modeling, Loans, Microsoft Excel, Key Performance Indicators (KPIs), Productivity Software, Google Sheets, Dashboard, Business Intelligence, Data Manipulation, Interactive Data Visualization, Financial Analysis, Capital Budgeting",Module 1: Financial Analysis in Excel | Module 2: Transforming Raw Data into Meaningful Insights | Module 3: Driving Business Intelligence with Excel Dashboards | Summative Course Assessment,"Liz Durango-Cohen, Illinois Tech",Starts Jul 17,Flexible schedule,Approx. 74 hours.Learn at your own pace
Problem Solving with Excel,4.7 out of 5 stars,5.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/excel-analysis,4 modules,"Statistical Analysis, Complex Problem Solving, Data Analysis Expressions (DAX), Financial Analysis, Excel Formulas, Data Analysis, Spreadsheet Software, Data Cleansing, Data Validation, Microsoft Excel",Overview of Excel | vLookups and Data Cleansing | Logical Functions & Pivot Tables | More Advanced Formulas,Alex Mannella,Starts Jul 17,Flexible schedule,Approx. 20 hours.Learn at your own pace
Create a Simple Gantt Chart using Microsoft Excel,4.5 out of 5 stars,116 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-simple-gantt-chart-microsoft-excel,,"Scheduling, Microsoft Excel, Data Visualization, Dashboard, Project Management Software, Project Schedules, Timelines",,"Andres Rodriguez, Coursera Project Network",,2 hours,Learn at your own pace
Excel Skills for Business: Intermediate I,4.9 out of 5 stars,17K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-intermediate-1,7 modules,"Spreadsheet Software, Data Management, Automation, Data Cleansing, Business Reporting, Consolidation, Data Analysis Expressions (DAX), Dashboard, Excel Formulas, Microsoft Excel","Working with Multiple Worksheets & Workbooks | Text and Date Functions | Named Ranges | Summarising Data | Tables | Pivot Tables, Charts and Slicers | Final Assessment","Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University",Starts Jul 17,Flexible schedule,Approx. 27 hours.Learn at your own pace
Data calculations in Microsoft Excel,4.7 out of 5 stars,37 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/data-calculations-microsoft-excel,,"Spreadsheet Software, Excel Formulas, Analysis, Microsoft Excel, Microsoft 365, Data Analysis Expressions (DAX)",,"Daria Toropchyn, Coursera Project Network",,1.5 hours,Learn at your own pace
Data Visualization using Microsoft Excel,4.5 out of 5 stars,62 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/data-visualization-microsoft-excel,,"Microsoft Excel, Data Import/Export, Microsoft 365, User Accounts, Data Visualization Software, Report Writing, Business Reporting, Data Visualization",,"Daria Toropchyn, Coursera Project Network",,1.5 hours,Learn at your own pace
Data Skills for Excel Professionals,4.8 out of 5 stars,113 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-skills-for-excel,,"Pivot Tables And Charts, Data Analysis Expressions (DAX), Business Intelligence, Exploratory Data Analysis, Dashboard, Data Cleansing, Microsoft Excel, Data Presentation, Excel Formulas, Data Transformation, Spreadsheet Software, Data Analysis",Fundamentals of Data Analysis in Excel | Power Query Fundamentals | Power Pivot Fundamentals,"CFI (Corporate Finance Institute), Corporate Finance Institute",Starts Jul 17,2 months,at 4 hours. a week
Work Smarter with Microsoft Word,4.7 out of 5 stars,2.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-word-work-smarter,7 modules,"Microsoft Word, Microsoft Windows, Presentations, Proofreading, Grammar, Writing, Editing, Document Management, Microsoft 365, Technical Documentation",Getting Started with Microsoft 365 | Entry-level: Getting started with Word | Working with text tables and lists | Working With Graphics | Finalizing a document | Collaborating on documents | Honors: Hands-on practice using Microsoft Word,,Starts Jul 17,Flexible schedule,Approx. 32 hours.Learn at your own pace
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-excel,,"Artificial Intelligence, Productivity, Data Synthesis, Pivot Tables And Charts, ChatGPT, Generative AI, Data Visualization, Data Cleansing, Microsoft Excel, Productivity Software, Data Presentation, Excel Formulas","ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT + Excel: Master AI-driven Formulas & Visualizations | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University",Starts Jul 17,1 month,at 3 hours. a week
How to use Custom and Conditional Formatting in Excel,4.6 out of 5 stars,90 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/how-use-custom-conditional-formatting-excel,,"Spreadsheet Software, Microsoft Excel, Excel Formulas, Data Visualization",,"Summer Scaggs, Coursera Project Network",,1.5 hours,Learn at your own pace
Data for Business Analysts Using Microsoft Excel,4.6 out of 5 stars,210 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-for-business-analysts-using-microsoft-excel,5 modules,"Pivot Tables And Charts, Excel Formulas, Data Manipulation, Data Presentation, Business Metrics, Microsoft Excel, Data Analysis, Spreadsheet Software, Data Cleansing",Excel Fundamentals | Formula and functions | Preparing data for analysis using functions | Working with Pivots | Final project and assessment:  Preparing data for analysis with MS Excel,,Starts Jul 17,Flexible schedule,Approx. 23 hours.Learn at your own pace
Mastering Excel Essentials to Enhance Business Value,4.4 out of 5 stars,24 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/illinois-tech-mastering-excel-essentials-to-enhance-business-value,4 modules,"Data Validation, Financial Modeling, Data Visualization, Management Reporting, Data Management, Spreadsheet Software, Business Intelligence Software, Data Cleansing, Data Analysis Expressions (DAX), Microsoft Excel, Excel Formulas, Business Analytics, Business Modeling, Data Entry, Decision Making, Dashboard, Data-Driven Decision-Making, Analytics, Productivity Software",Module 1: Excel Foundations | Module 2: Essential Excel Tools for Professional Success | Module 3: Presenting Information in Excel | Summative Course Assessment,"Liz Durango-Cohen, Illinois Tech",Starts Jul 17,Flexible schedule,Approx. 82 hours.Learn at your own pace
Microsoft Business Analyst,4.6 out of 5 stars,1.1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-business-analyst,,"Pivot Tables And Charts, Software Development Life Cycle, Requirements Elicitation, Power BI, Microsoft Power Platform, Quality Management, Microsoft Visio, Microsoft Excel, Excel Formulas, Business Analysis, Requirements Analysis, Data Analysis",Business Analysis Fundamentals | Data for Business Analysts Using Microsoft Excel | Data and Business Process Modeling with Microsoft Visio | Requirements Gathering in Business Analysis | Power Platform in Business Analysis | Project Delivery in Business Analysis and Capstone Project,,Starts Jul 17,3 months,at 10 hours. a week
Data for Analysis with Microsoft Excel,4.7 out of 5 stars,45 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-for-analysis-with-microsoft-excel,4 modules,"Excel Formulas, Data Cleansing, Spreadsheet Software, Pivot Tables And Charts, Data Management, Power BI, Data Transformation, Microsoft Excel, Data Manipulation, Timelines, Data Analysis",Excel fundamentals | Formulas and functions | Preparing data for analysis using functions | Final project and assessment:  Preparing data for analysis with Microsoft Excel,,Starts Jul 17,19 hours to complete,
Business Analytics using Excel,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/business-analytics-using-excel,4 modules,"Descriptive Statistics, Spreadsheet Software, Regression Analysis, Data Processing, Excel Macros, Data Visualization, Microsoft Excel, Pivot Tables And Charts, Data Cleansing, Data Analysis, Productivity Software, Excel Formulas, Dashboard, Analytics",Foundations of Business Analytics | Excel Functions and Data Analysis | Data Visualization & Analytical Tools in Excel | Statistical Analysis & Automation,Priyanka Mehta,Starts Jul 17,Flexible schedule,Learn at your own pace
Microsoft Project Management,4.7 out of 5 stars,476 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-project-management,,"Communication, Procurement, Project Schedules, Kanban Principles, Scheduling, Performance Measurement, Virtual Teams, Budgeting, Project Management Office (PMO), Leadership, Excel Formulas, Project Management Life Cycle",Project Management Fundamentals | Team Building and Leadership in Project Management | Project Manager Engagement with Stakeholders | Process Groups and Processes in Project Management | PMP Formulas | Project Management Principles | Project Management Performance Domains | Agile and Hybrid Approaches in a Project Environment | PMP Application Process and Practice Exam,,Starts Jul 17,4 months,at 10 hours. a week
Excel Fundamentals for Data Analysis,4.8 out of 5 stars,4.1K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-data-analysis-fundamentals,7 modules,"Data Manipulation, Automation, Spreadsheet Software, Excel Formulas, Microsoft Excel, Data Cleansing, Data Validation, Data Transformation, Pivot Tables And Charts, Data Analysis",Welcome and critical information | Cleaning and manipulating text | Working with numbers and dates | Defined Names for working more effectively with data | Tables for automating data manipulation | Logical and lookup functions | Final assessment,"Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Macquarie University",Starts Jul 17,Flexible schedule,Approx. 15 hours.Learn at your own pace
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"Predictive Modeling, IBM Cognos Analytics, Data Import/Export, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Big Data, Microsoft Excel, Professional Networking, Excel Formulas","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy",Starts Jul 17,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
Crear Gráficos y Paneles con Microsoft Excel,4.8 out of 5 stars,178 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/crear-graficos-paneles-microsoft-excel,,"Pivot Tables And Charts, Microsoft Excel, Data Presentation, Spreadsheet Software, Data Analysis, Data Visualization Software, Dashboard",,"Paula Del Rey, Coursera Project Network",,2 horas,Learn at your own pace
Work Smarter with Microsoft Word,4.7 out of 5 stars,2.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-word-work-smarter,7 modules,"Microsoft Word, Microsoft Windows, Presentations, Proofreading, Grammar, Writing, Editing, Document Management, Microsoft 365, Technical Documentation",Getting Started with Microsoft 365 | Entry-level: Getting started with Word | Working with text tables and lists | Working With Graphics | Finalizing a document | Collaborating on documents | Honors: Hands-on practice using Microsoft Word,,Starts Jul 17,Flexible schedule,Approx. 32 hours.Learn at your own pace
Data Visualization using Microsoft Excel,4.5 out of 5 stars,62 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/data-visualization-microsoft-excel,,"Microsoft Excel, Data Import/Export, Microsoft 365, User Accounts, Data Visualization Software, Report Writing, Business Reporting, Data Visualization",,"Daria Toropchyn, Coursera Project Network",,1.5 hours,Learn at your own pace
Advanced Business Analytics: Excel Optimization & Simulation,4.9 out of 5 stars,31 reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-2,5 modules,"Data-Driven Decision-Making, Logistics, Process Optimization, Resource Allocation, Operational Analysis, Business Analytics, Transportation Operations, Business Operations, Analytics, Statistical Methods, Business Modeling, Microsoft Excel, Simulation and Simulation Software, Risk Analysis",Modeling in Excel: Elementary to Advanced | Sensitivity Analysis | Advanced Integer Programming | Advanced Transportation Problems | Simulation,"Joseph W. Cutrone, PhD, Johns Hopkins University",Starts Jul 17,Flexible schedule,Learn at your own pace
Custom & Conditional Formatting in Microsoft Excel,4.3 out of 5 stars,20 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/custom-and-conditional-formatting-in-microsoft-excel,,"Data Visualization, Business Strategy, Data Entry, Data Management, Data Analysis, Spreadsheet Software",,"Kim Webb, Coursera Project Network",,1.5 hours,Learn at your own pace
Introduction to Microsoft Azure Cloud Services,4.6 out of 5 stars,2.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-azure-cloud-services,4 modules,"Virtual Machines, Cloud Infrastructure, Public Cloud, Microsoft Azure, General Networking, Cloud Storage, Database Management Systems, Scalability, Cloud Computing, Virtualization, Cloud Platforms, Cloud Services, Virtual Private Networks (VPN)","Introduction to Azure Fundamentals | Microsoft Azure Fundamental Concepts & Architectural Components | Microsoft Azure Database, Analytics, & Compute Services | Microsoft Azure Storage & Networking Services",,Starts Jul 17,Flexible schedule,Approx. 9 hours.Learn at your own pace
"Everyday Excel, Part 3 (Projects)",4.8 out of 5 stars,286 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/everyday-excel-projects,5 modules,"Data Management, Mathematical Modeling, Excel Formulas, Complex Problem Solving, Microsoft Excel, Analysis, Data Validation",Introduction and General Course Information | WARM-UP PROJECTS (Choose Three) | INTERMEDIATE PROJECTS (Choose Three) | MAIN PROJECTS (Choose Three) | For Honors!,"Charlie Nuttelman, University of Colorado Boulder",Starts Jul 17,14 hours to complete,
Create a Mortgage Calculator in Excel,4.3 out of 5 stars,29 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-mortgage-calculator-excel,,"Loans, Excel Formulas, Financial Modeling, Mortgage Loans, Spreadsheet Software, Financial Data, Microsoft 365, Microsoft Excel, Timelines",,"Summer Scaggs, Coursera Project Network",,1.5 hours,Learn at your own pace
Excel Skills for Business: Intermediate I,4.9 out of 5 stars,17K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-intermediate-1,7 modules,"Spreadsheet Software, Data Management, Automation, Data Cleansing, Business Reporting, Consolidation, Data Analysis Expressions (DAX), Dashboard, Excel Formulas, Microsoft Excel","Working with Multiple Worksheets & Workbooks | Text and Date Functions | Named Ranges | Summarising Data | Tables | Pivot Tables, Charts and Slicers | Final Assessment","Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University",Starts Jul 17,,
كيف تبدأ بتعلم Microsoft Excel,4.7 out of 5 stars,85 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/kayf-tabdaa-btaalom-microsoft-excel,,"Productivity Software, Spreadsheet Software, Data Analysis Software, Data Entry, Excel Formulas, Microsoft Excel",,"Yasmeen Atwa, Coursera Project Network",,1.25 hours,Learn at your own pace
