課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Programming for Everybody (Getting Started with Python),4.8 out of 5 stars,232K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python,7 modules,"Computer Programming, Programming Principles, Python Programming, Development Environment, Software Installation",Chapter One - Why we Program? | Installing Python | Chapter One: Why We Program (continued) | Chapter Two: Variables and Expressions | Chapter Three: Conditional Code | Chapter Four: Functions | Chapter Five: Loops and Iteration,"Charles Russell Severance, University of Michigan",Starts Jul 18,Flexible schedule,Approx. 18 hours.Learn at your own pace
Google IT Automation with Python,4.8 out of 5 stars,49K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-automation,,"Automation, Scripting, Bash (Scripting Language), Technical Communication, CI/CD, Debugging, Version Control, Git (Version Control System), Configuration Management, Unit Testing, Web Services, Cloud Services",Crash Course on Python | Using Python to Interact with the Operating System | Introduction to Git and GitHub | Troubleshooting and Debugging Techniques | Configuration Management and the Cloud | Automating Real-World Tasks with Python,,Starts Jul 18,6 months,at 10 hours. a week
Create Your First Python Program From UST,4.6 out of 5 stars,3K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/first-python-program-ust,,"Computer Programming, Scripting, Development Environment, Scripting Languages, Python Programming, Command-Line Interface, Programming Principles",,"Amit Yadav, Coursera Project Network",,2 hours,Learn at your own pace
Python 3 Programming,4.8 out of 5 stars,23K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-3-programming,,"Data Manipulation, Object Oriented Design, Data Import/Export, Data Processing, Debugging, Object Oriented Programming (OOP), Unified Modeling Language, Data Structures, Unit Testing, Jupyter, JSON, Restful API","Python Basics | Python Functions, Files, and Dictionaries | Data Collection and Processing with Python | Python Classes and Inheritance | Python Project: Software Engineering and Image Manipulation","Steve Oney, Paul Resnick, Christopher Brooks, University of Michigan",Starts Jul 18,3 months,at 10 hours. a week
Databases and SQL for Data Science with Python,4.7 out of 5 stars,22K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/sql-data-science,6 modules,"Stored Procedure, Query Languages, Relational Databases, SQL, Data Manipulation, Python Programming, Database Management, Data Analysis, Jupyter, Databases, Transaction Processing, Database Design, Pandas (Python Package)",Getting Started with SQL | Introduction to Relational Databases and Tables | Intermediate SQL | Accessing Databases using Python | Course Assignment | Bonus Module: Advanced SQL for Data Engineers,"Rav Ahuja, Hima Vasudevan",Starts Jul 18,Flexible schedule,Approx. 18 hours.Learn at your own pace
Python Basics,4.8 out of 5 stars,18K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-basics,4 modules,"Programming Principles, Computer Graphics, Computer Programming, Development Environment, Data Structures, Scripting Languages, Python Programming, Debugging",Introduction and The Basics of Programming in Python | Sequences and Iteration | Booleans and Conditionals | Sequence Mutation  and Accumulation Patterns,"Paul Resnick, Steve Oney, University of Michigan",Starts Jul 18,Flexible schedule,Approx. 26 hours.Learn at your own pace
Machine Learning with Python,4.7 out of 5 stars,18K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-with-python,6 modules,"Machine Learning, Supervised Learning, Applied Machine Learning, Regression Analysis, Classification And Regression Tree (CART), Scikit Learn (Machine Learning Library), Feature Engineering, Unsupervised Learning, Predictive Modeling, Statistical Modeling, Decision Tree Learning, Dimensionality Reduction",Introduction to Machine Learning | Linear and Logistic Regression | Building Supervised Learning Models | Building Unsupervised Learning Models | Evaluating and Validating Machine Learning Models | Final Project and Exam,"Joseph Santarcangelo, Jeff Grossman",Starts Jul 18,Flexible schedule,Approx. 20 hours.Learn at your own pace
Introducción a la programación en Python I: Aprendiendo a programar con Python,4.4 out of 5 stars,4.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/aprendiendo-programar-python,6 modules,"Application Development, File Management, Python Programming, Data Structures, Algorithms, Computer Programming, Program Development",IntroducciÃ³n: La programaciÃ³n y los sistemas computacionales | Instrucciones bÃ¡sicas del lenguaje Python | Control de flujo | Funciones | Strings y Archivos | Listas,"Jorge MuÃ±oz Gama, Mar PÃ©rez-SanagustÃ­n, Cristian Ruz, Valeria Herskovic, Pontificia Universidad CatÃ³lica de Chile",Starts Jul 18,Flexible schedule,Approx. 17 hours.Learn at your own pace
IBM Data Science,4.6 out of 5 stars,145K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Data Import/Export, Generative AI, Plotly, Exploratory Data Analysis, Dashboard, Data Visualization, Unsupervised Learning, Data Wrangling, Supervised Learning, Predictive Modeling, Professional Networking, Data Mining","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman",Starts Jul 18,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
AI Python for Beginners,4.8 out of 5 stars,141 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/ai-python-for-beginners,4 modules,"ChatGPT, Large Language Modeling, Data Analysis, Artificial Intelligence, Python Programming, Automation, Scripting, Generative AI, Computer Programming, Application Programming Interface (API), Prompt Engineering, Data Structures, Jupyter, Application Development",Basics of AI Python Coding | Automating Tasks with Python | Working with Your Own Data and Documents in Python | Extending Python with Packages and APIs,Andrew Ng,Starts Jul 18,Flexible schedule,Approx. 17 hours.Learn at your own pace
Python for Cybersecurity,4.5 out of 5 stars,512 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/pythonforcybersecurity,,"Threat Detection, Cyber Operations, Scripting, Command-Line Interface, Cyber Threat Hunting, Network Monitoring, System Monitoring, Cyber Threat Intelligence, Cyber Security Strategy, Network Security, Authorization (Computing), Incident Response","Introduction to Python for Cybersecurity | Execution, persistence, privilege escalation and evasion | Credential Access, discovery, lateral movement & collection | Python for Command-and-control, Exfiltration and Impact | Python for Active Defense",Howard Poston,Starts Jul 18,1 month,at 10 hours. a week
Automate Cybersecurity Tasks with Python,4.8 out of 5 stars,3.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,4 modules,"Computer Programming, Algorithms, Scripting, Programming Principles, File Management, Integrated Development Environments, Python Programming, Cybersecurity, Data Structures, Automation, Cyber Security Assessment, Debugging",Introduction to Python | Write effective Python code | Work with strings and lists | Python in practice,,Starts Jul 18,Flexible schedule,Approx. 24 hours.Learn at your own pace
AI Agents and Agentic AI in Python: Powered by Generative AI,4.8 out of 5 stars,6.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-agents-python,,"Artificial Intelligence, ChatGPT, Persona (User Experience), Productivity, Generative AI, Business Logic, Brainstorming, Large Language Modeling, Ingenuity, Generative AI Agents, OpenAI, Application Development",AI Agents and Agentic AI with Python & Generative AI | Prompt Engineering for ChatGPT | AI Agents and Agentic AI Architecture in Python,"Dr. Jules White, Vanderbilt University",Starts Jul 18,1 month,at 10 hours. a week
Introduction to Python Programming,4.5 out of 5 stars,1.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-programming-intro,4 modules,"Software Development Tools, Data Structures, Integrated Development Environments, File Management, Data Import/Export, Computational Thinking, Python Programming, Computer Programming, Programming Principles, Scripting, Jupyter","Module 1 : Course Introduction, Intro to Programming and The Python Language, Variables, Conditionals, Jupyter Notebook, and IDLE | Module 2 : Intro to Lists, Loops, and Functions | Module 3 : More with Lists, Strings, Tuples, Sets, and PyCharm | Module 4 : Dictionaries and Files","Brandon Krakowsky, University of Pennsylvania",Starts Jul 18,Flexible schedule,Approx. 28 hours.Learn at your own pace
Introduction to Python,4.5 out of 5 stars,2.2K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-python,,"Scientific Visualization, Web Development, Python Programming, Application Development, Computational Thinking, Artificial Intelligence, Programming Principles, Computer Programming, Data Science",,"David Dalsveen, Coursera Project Network",,55 minutes,Learn at your own pace
Python Data Structures,4.9 out of 5 stars,97K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-data,7 modules,"File Management, Data Import/Export, Data Manipulation, Development Environment, Data Structures, Programming Principles, Python Programming",Chapter Six: Strings | Unit: Installing and Using Python | Chapter Seven: Files | Chapter Eight: Lists | Chapter Nine: Dictionaries | Chapter Ten: Tuples | Graduation,"Charles Russell Severance, University of Michigan",Starts Jul 18,Flexible schedule,Approx. 19 hours.Learn at your own pace
Google Advanced Data Analytics,4.7 out of 5 stars,7.1K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,,"Tableau Software, Sampling (Statistics), Regression Analysis, Descriptive Statistics, Exploratory Data Analysis, Data Visualization, Object Oriented Programming (OOP), Data Analysis, Data Visualization Software, Feature Engineering, Statistical Analysis, Interviewing Skills",Foundations of Data Science | Get Started with Python | Go Beyond the Numbers: Translate Data into Insights | The Power of Statistics | Regression Analysis: Simplify Complex Data Relationships | The Nuts and Bolts of Machine Learning | Google Advanced Data Analytics Capstone | Accelerate Your Job Search with AI,,Starts Jul 18,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
IBM Full Stack Software Developer,4.6 out of 5 stars,56K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,,"Kubernetes, Node.JS, Data Import/Export, Software Development Life Cycle, Server Side, Istio, Software Architecture, Software Development, Cloud Computing Architecture, Full-Stack Web Development, Git (Version Control System), Application Deployment","Introduction to Software Engineering | Introduction to Cloud Computing | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Django Application Development with SQL and Databases | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Full Stack Application Development Capstone Project | Full Stack Software Developer Assessment | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sachin Jambur, Abhishek Gagneja, Richa Arora, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Yan Luo, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 18,Flexible schedule,"5 months, 10 hours. a weekLearn at your own pace"
IBM AI Engineering,4.6 out of 5 stars,20K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ai-engineer,,"Tensorflow, Data Manipulation, Reinforcement Learning, Generative AI, Natural Language Processing, Unsupervised Learning, Large Language Modeling, PyTorch (Machine Learning Library), Supervised Learning, Generative AI Agents, OpenAI, Applied Machine Learning",Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Deep Learning with Keras and Tensorflow | Introduction to Neural Networks and PyTorch | Deep Learning with PyTorch | AI Capstone Project with Deep Learning | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain,"Sina Nazeri, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Ricky Shi, Romeo Kienzler, Joseph Santarcangelo, Alex Aklson, Roodra Pratap Kanwar, Samaya Madhavan, JEREMY NILMEIER, Jeff Grossman",Starts Jul 18,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
Applied Data Science with Python,4.5 out of 5 stars,34K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-python,,"Graph Theory, NumPy, Natural Language Processing, Data Visualization, Data Processing, Supervised Learning, Scientific Visualization, Jupyter, Data Visualization Software, Applied Machine Learning, Feature Engineering, Visualization (Computer Graphics)","Introduction to Data Science in Python | Applied Plotting, Charting & Data Representation in Python | Applied Machine Learning in Python | Applied Text Mining in Python | Applied Social Network Analysis in Python","Christopher Brooks, Kevyn Collins-Thompson, Daniel Romero, V. G. Vinod Vydiswaran, University of Michigan",Starts Jul 18,4 months,at 10 hours. a week
Learn Python,4.8 out of 5 stars,26 reviews,Beginner · Specialization · 1 - 4 Weeks,https://www.coursera.org/specializations/learn-python,,"Scripting, Software Development, Debugging, Computational Thinking, Object Oriented Programming (OOP), Scripting Languages, Data Structures, Performance Tuning, File Management, Web Development Tools, Programming Principles, Software Engineering",Learn Python: 1 | Learn Python: 2 | Learn Python: 3,Olof Paulson,Starts Jul 18,1 month,at 10 hours. a week
Introduction to Scripting in Python,4.7 out of 5 stars,4.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/introduction-scripting-in-python,,"Data Integration, Data Manipulation, Scripting, Data Import/Export, Software Installation, Data Visualization, Data Processing, Data Storage, Development Environment, Data Structures, Data Analysis, Data Visualization Software",Python Programming Essentials | Python Data Representations | Python Data Analysis | Python Data Visualization,"Joe Warren, Scott Rixner, Rice University",Starts Jul 18,1 month,at 10 hours. a week
Python and Statistics for Financial Analysis,4.4 out of 5 stars,4.5K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-statistics-financial-analysis,4 modules,"Financial Trading, Pandas (Python Package), Statistical Inference, Statistical Methods, Data Manipulation, Jupyter, Financial Analysis, Data Visualization, Financial Modeling, Statistical Analysis, Financial Data, Regression Analysis, Python Programming, Probability & Statistics, Risk Analysis",Visualizing and Munging Stock Data | Random variables and distribution | Sampling and Inference | Linear Regression Models for Financial Analysis,"Xuhu Wan, The Hong Kong University of Science and Technology",Starts Jul 18,Flexible schedule,Approx. 12 hours.Learn at your own pace
Data Visualization with Python,4.5 out of 5 stars,12K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-data-visualization,5 modules,"Histogram, Scatter Plots, Geospatial Information and Technology, Matplotlib, Box Plots, Data Visualization, Interactive Data Visualization, Data Visualization Software, Dashboard, Heat Maps, Plotly, Pandas (Python Package), Data Presentation, Seaborn, Python Programming, Data Analysis",Introduction to Data Visualization Tools | Basic and Specialized Visualization Tools | Advanced Visualizations and Geospatial Data | Creating Dashboards with Plotly and Dash | Final Project and Exam,"Saishruthi Swaminathan, Dr. Pooja",Starts Jul 18,Flexible schedule,Approx. 20 hours.Learn at your own pace
Python Project for Data Science,4.5 out of 5 stars,4.7K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-project-for-data-science,1 module,"Web Scraping, Dashboard, Data Manipulation, Data Analysis, Data Processing, Data Visualization Software, Data Collection, Python Programming, Matplotlib, Pandas (Python Package), Data Science, Jupyter",Crowdsourcing Short squeeze Dashboard,"Azim Hirjani, Joseph Santarcangelo",Starts Jul 18,,
Programming in Python: A Hands-on Introduction,4.5 out of 5 stars,469 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/hands-on-python,,"Scripting, Data Import/Export, Computational Logic, Object Oriented Programming (OOP), Scripting Languages, Data Structures, Computer Science, File Management, Programming Principles, Computer Programming, Python Programming","Python Basics: Selection and Iteration | Python Basic Structures: Lists, Strings, and Files | Python Object Basics: Functions, Recursion, and Objects | Object-Oriented Python: Inheritance and Encapsulation","Elise Deitrick, Patrick Ester",Starts Jul 18,1 month,at 10 hours. a week
Statistics with Python,4.6 out of 5 stars,3.3K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/statistics-with-python,,"Sampling (Statistics), Regression Analysis, Statistical Programming, Statistics, Data Visualization, Seaborn, Scientific Visualization, Bayesian Statistics, Statistical Methods, Jupyter, Statistical Analysis, Data Literacy",Understanding and Visualizing Data with Python | Inferential Statistical Analysis with Python | Fitting Statistical Models to Data with Python,"Brenda Gunderson, Brady T. West, Kerby Shedden, University of Michigan",Starts Jul 18,1 month,at 10 hours. a week
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"Data Import/Export, Generative AI, Big Data, Plotly, IBM Cognos Analytics, Exploratory Data Analysis, Dashboard, Data Visualization, Data Wrangling, Predictive Modeling, Professional Networking, Data Analysis","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy",Starts Jul 18,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
Python Programming Fundamentals,4.5 out of 5 stars,256 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-python-programming-fundamentals,6 modules,"Integrated Development Environments, Development Environment, Unit Testing, Data Structures, Jupyter, Object Oriented Programming (OOP), Software Testing, Debugging, Programming Principles, GitHub, Python Programming, Program Development, Version Control, Scripting, Web Development, Algorithms, Computer Programming, Git (Version Control System), Scripting Languages",Introduction to Python | Python basics | Functions and modules | Data structures in Python | Error handling and debugging | Testing basics & version control,,Starts Jul 18,Flexible schedule,Approx. 24 hours.Learn at your own pace
Introduction to Programming with Python and Java,4.5 out of 5 stars,1.8K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/programming-python-java,,"Pivot Tables And Charts, Object Oriented Design, Java Programming, Java, Data Visualization, Debugging, Object Oriented Programming (OOP), Data Structures, Unit Testing, Data Analysis, Data Visualization Software, Eclipse (Software)",Introduction to Python Programming | Data Analysis Using Python | Introduction to Java and Object-Oriented Programming | Inheritance and Data Structures in Java,"Brandon Krakowsky, University of Pennsylvania",Starts Jul 18,2 months,at 10 hours. a week
Data Science Fundamentals with Python and SQL,4.6 out of 5 stars,72K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,,"Probability Distribution, Descriptive Statistics, Data Import/Export, Data Analysis Software, Statistics, Dashboard, Data Visualization, Databases, Jupyter, Data Analysis, Data Visualization Software, Statistical Analysis","Tools for Data Science | Python for Data Science, AI & Development | Python Project for Data Science | Statistics for Data Science with Python | Databases and SQL for Data Science with Python","Murtaza Haider, Romeo Kienzler, Joseph Santarcangelo, Rav Ahuja, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Svetlana Levitan",Starts Jul 18,Flexible schedule,"2 months, 10 hours. a weekLearn at your own pace"
Meta Back-End Developer,4.6 out of 5 stars,9.3K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-back-end-developer,,"Cloud Hosting, Front-End Web Development, Unix Commands, Version Control, Full-Stack Web Development, Web Design and Development, Git (Version Control System), Object Oriented Programming (OOP), Data Structures, Database Design, Restful API, Relational Databases",Introduction to Back-End Development | Programming in Python | Version Control | Introduction to Databases for Back-End Development | Django Web Framework | APIs | The Full Stack | Back-End Developer Capstone | Coding Interview Preparation,Taught by Meta Staff,Starts Jul 18,Flexible schedule,"8 months, 6 hours. a weekLearn at your own pace"
Developing AI Applications with Python and Flask,4.4 out of 5 stars,1.2K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-project-for-ai-application-development,3 modules,"Application Deployment, Programming Principles, Python Programming, Flask (Web Framework), Artificial Intelligence, Unit Testing, IBM Cloud, Code Review, Web Applications, Development Environment, Restful API, API Design, Debugging",Python Coding Practices and Packaging Concepts | Web App Deployment using Flask | Creating AI Application and Deploy using Flask,"Abhishek Gagneja, Ramesh Sannareddy",Starts Jul 18,Flexible schedule,Approx. 11 hours.Learn at your own pace
Python for Data Analysis: Pandas & NumPy,4.5 out of 5 stars,347 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/python-for-data-analysis-numpy,,"Data Manipulation, Data Science, Python Programming, Computer Programming, Pandas (Python Package), Data Analysis, NumPy, Data Structures",,"Ryan Ahmed, Coursera Project Network",,2 hours,Learn at your own pace
Machine Learning,4.9 out of 5 stars,35K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/machine-learning-introduction,,"Tensorflow, Artificial Intelligence, Random Forest Algorithm, Reinforcement Learning, NumPy, Unsupervised Learning, Decision Tree Learning, Supervised Learning, Predictive Modeling, Jupyter, Applied Machine Learning, Feature Engineering","Supervised Machine Learning: Regression and Classification | Advanced Learning Algorithms | Unsupervised Learning, Recommenders, Reinforcement Learning","Andrew Ng, Geoff Ladwig, Aarti Bagul, Eddy Shyu, Stanford University",Starts Jul 18,2 months,at 10 hours. a week
