課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Data & Cybersecurity,4.7 out of 5 stars,281 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-cybersecurity,6 modules,"Time Series Analysis and Forecasting, Safety and Security, Cyber Threat Intelligence, Anomaly Detection, Crisis Management, Cyber Attacks, Security Information and Event Management (SIEM), Security Management, Data Security, Email Security, Computer Security Incident Management, Incident Response, Malware Protection, Data Science, Security Awareness, Authentications, Cybersecurity, Data Processing",INTRODUCCIÃN | ESSENTIALS I | ESSENTIALS II | CRISIS MANAGEMENT | DATA INFORMATION SECURITY | APPLYING AI&ML FOR CYBERSECURITY OPERATIONS,Campus BBVA
AI for Cybersecurity,4.5 out of 5 stars,44 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-for-cybersecurity,,"Intrusion Detection and Prevention, Cyber Attacks, Threat Detection, System Design and Implementation, Network Analysis, Email Security, Cybersecurity, Generative AI, Network Security, Feature Engineering, Jupyter, Deep Learning",Introduction to AI for Cybersecurity | Advanced Malware and Network Anomaly Detection | Securing AI and Advanced Topics,"Lanier Watkins, Johns Hopkins University"
IT Fundamentals for Cybersecurity,4.6 out of 5 stars,22K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,,"Cyber Attacks, Computer Security Incident Management, Networking Hardware, Cybersecurity, Cloud Computing, Network Security, TCP/IP, Linux Servers, Malware Protection, Linux, Operating Systems, Network Protocols","Introduction to Cybersecurity Tools & Cyberattacks | Operating Systems: Overview, Administration, and Security | Cybersecurity Compliance Framework, Standards & Regulations | Computer Networks and Network Security","IBM Skills Network Team, Dee Dee Collette, Dr. Manish Kumar"
Cybersecurity Fundamentals,4.8 out of 5 stars,1.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurity-fundamentals,,"Endpoint Security, Cyber Attacks, Threat Detection, Computer Security Incident Management, Secure Coding, Security Awareness, Cybersecurity, Network Security, Hardening, Data Security, Advanced Encryption Standard (AES), Cryptographic Protocols",Introduction to Cybersecurity Essentials | Cybersecurity Architecture | Encryption and Cryptography Essentials | Introduction to Cybersecurity Careers,"IBM Skills Network Team, Dee Dee Collette, Jeff Crume, Dr. Manish Kumar, Rav Ahuja"
Cybersecurity Assessment: CompTIA Security+ & CYSA+,4.8 out of 5 stars,1.2K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/cybersecurity-assessment-comptia-security-cysa,2 modules,"Cybersecurity, Vulnerability Management, Incident Response, Network Architecture, Cyber Attacks, Security Testing, Cyber Security Assessment",Practice for CompTIA Security+ Certification | Practice for CompTIA CySA+ Certification,"Dee Dee Collette, Dr. Manish Kumar, IBM Skills Network Team"
IBM and ISC2 Cybersecurity Specialist,4.7 out of 5 stars,13K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,,"Network Troubleshooting, Governance, Computer Security Incident Management, Penetration Testing, Cloud Computing Architecture, Cybersecurity, Network Security, Disaster Recovery, Peripheral Devices, Cryptography, Security Controls, Cloud Technologies","Introduction to Cybersecurity Careers | Introduction to Hardware and Operating Systems | Introduction to Software, Programming, and Databases | Introduction to Networking and Storage | Introduction to Cloud Computing | Introduction to Cybersecurity Essentials | Security Principles | Incident Response, BC, and DR Concepts | Access Control Concepts | Network Security | Security Operations | Cybersecurity Case Studies and Capstone Project","IBM Skills Network Team, Dee Dee Collette, Rav Ahuja, ISC2 Education & Training"
Cybersecurity Attack and Defense Fundamentals,4.6 out of 5 stars,727 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurity-attack-and-defense,,"Intrusion Detection and Prevention, Threat Detection, Wireless Networks, Authorization (Computing), Penetration Testing, Security Awareness, Cybersecurity, Network Security, Vulnerability Assessments, Mobile Security, Data Security, Malware Protection",Ethical Hacking Essentials (EHE) | Network Defense Essentials (NDE) | Digital Forensics Essentials (DFE),
Fortinet Network Security,4.6 out of 5 stars,103 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/fortinet-network-security,,"Network Troubleshooting, Intrusion Detection and Prevention, Computer Security, Virtual Private Networks (VPN), Cybersecurity, Network Monitoring, Network Security, Network Architecture, Network Performance Management, Network Administration, Security Management, Security Engineering",FortiGate Administrator | FortiManager Administrator | Enterprise Firewall Administrator | FortiAnalyzer Administrator | Network Security Support Engineer,"Fortinet Training Institute, Fortinet, Inc."
Palo Alto Networks Cybersecurity,4.6 out of 5 stars,792 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,,"Endpoint Security, Infrastructure Security, Cloud-Native Computing, Zero Trust Network Access, Cloud Computing Architecture, Cybersecurity, Cloud Computing, Network Security, TCP/IP, Malware Protection, Security Information and Event Management (SIEM), Network Infrastructure",Palo Alto Networks Cybersecurity Foundation | Palo Alto Networks Network Security Fundamentals | Palo Alto Networks Cloud Security Fundamentals | Palo Alto Networks Security Operations  Fundamentals,"James Dalton, Palo Alto Networks"
Cybersecurity Architecture,4.9 out of 5 stars,120 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-architecture,5 modules,"Threat Detection, Cyber Attacks, Network Security, Authentications, Authorization (Computing), Data Governance, Data Security, Secure Coding, Identity and Access Management, Security Controls, Cybersecurity, Cyber Security Strategy, Application Security, Firewall, Security Information and Event Management (SIEM), Endpoint Security","Cybersecurity Architecture Overview | Access Management and Endpoint Security | Network, Application, and Data Security | Detection and Response | Final Project, Exam, and Course Wrap-Up",Jeff Crume
NIST Cybersecurity and Risk Management Frameworks,4.7 out of 5 stars,25 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/packt-nist-cybersecurity-and-risk-management-frameworks,,"System Monitoring, Computer Security Incident Management, Authorization (Computing), Cybersecurity, Cyber Security Policies, Vulnerability Assessments, Disaster Recovery, Security Management, Security Strategy, Threat Management, Security Controls, Configuration Management","Foundations of NIST Cybersecurity Frameworks | Incident Response and Risk Management | Advanced Risk Management, Security Controls & Monitoring",Packt - Course Instructors
Cybersecurity Leadership and Management,4.5 out of 5 stars,127 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurity-leadership,,"Security Requirements Analysis, Governance, Cybersecurity, Cyber Security Policies, Key Performance Indicators (KPIs), Disaster Recovery, Security Management, IT Management, Security Controls, Leadership and Management, Leadership, Cyber Risk",Leadership | Management | Governance and Strategy,"Cicero Chimbanda, infosec instructor, InfoSec Institute Instructor"
IBM Generative AI for Cybersecurity Professionals,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals,,"ChatGPT, Artificial Intelligence, Threat Detection, Content Creation, Cybersecurity, Generative AI, IBM Cloud, OpenAI, Malware Protection, Security Information and Event Management (SIEM), Prompt Engineering, Incident Response",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Boost Your Cybersecurity Career,"Dr. Manish Kumar, Rav Ahuja, Antonio Cangiano"
Cybersecurity Best Practices,4.8 out of 5 stars,45 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/cybersecurity-best-practices,1 module,"Security Controls, Data Integrity, Computer Security Awareness Training, Cyber Security Strategy, Data Security, Incident Response, Threat Management, Cyber Security Policies, Cybersecurity, Cyber Risk, Security Awareness, Enterprise Security, Security Management, Disaster Recovery, Threat Detection, Information Assurance, Network Security",Welcome to Cybersecurity Best Practices!,"Andry Rakotomalala, Coursera Instructor Network"
Certified Ethical Hacking (v12),4.7 out of 5 stars,213 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/certified-ethical-hacking-v12-cehv12-exam-prep-course,,"Intrusion Detection and Prevention, Cyber Attacks, Threat Detection, Cyber Security Assessment, Penetration Testing, Cloud Infrastructure, Cybersecurity, Cloud Computing, Network Security, Mobile Security, Malware Protection, Security Testing",Ethical Hacking Fundamentals | System and Network Security | Advanced Cybersecurity | CEH (v12) Practice Projects and Exam Simulators,
Cybersecurity Awareness for Everyone,4.8 out of 5 stars,44 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurityzarenessforeveryone,,"Social Media, Cyber Attacks, Threat Detection, Computer Security Incident Management, Wireless Networks, Virtual Private Networks (VPN), Security Awareness, Email Security, Cybersecurity, Network Security, Mobile Security, Authentications",What Is Cybersecurity? | Cybersecurity: Protecting your Information at Home | Cybersecurity: Protecting your Information on the Go | Cybersecurity: What to Do When You Are a Victim | Cybersecurity Awareness For Everyone: Final Assessment,"Herbert J. Mattord, Ph.D., CISM, CISSP, CDP, Michael Whitman, Ph.D., CISM, CISSP, Kennesaw State University"
Cybersecurity Foundations,4.7 out of 5 stars,620 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/cybersecurity-foundations,,"Linux Commands, Cyber Security Assessment, Penetration Testing, Risk Management Framework, Cybersecurity, Cyber Security Policies, Cloud Computing, Network Monitoring, Command-Line Interface, Vulnerability Assessments, Microsoft Windows, Security Management",Introduction to Cybersecurity Foundations | Operating System Foundations | Cybersecurity Policy Foundations,Keatron Evans
Cyber Threat Hunting,4.5 out of 5 stars,117 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cyber-threat-hunting,9 modules,"Generative AI, Cyber Threat Intelligence, Event Monitoring, Security Information and Event Management (SIEM), MITRE ATT&CK Framework, Linux, Anomaly Detection, Cyber Threat Hunting, Threat Detection, Intrusion Detection and Prevention, Endpoint Detection and Response, Threat Modeling, Network Analysis, System Monitoring, Malware Protection",Cyber threat hunting introduction | Threat hunting artifacts and types | Threat hunting techniques and generative AI | Threat hunting methodologies | Threat hunting data and technologies | Cyber threat hunting process | Cyber threat hunting scenarios | Hunting for network-based threats | Hunting for host-based threats,Keatron Evans
Gen AI in Cybersecurity,3.7 out of 5 stars,38 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gen-ai-in-cybersecurity,1 module,"IT Security Architecture, Application Security, Artificial Intelligence, Machine Learning, Cyber Security Strategy, Incident Response, Data Analysis, Generative AI, Cyber Threat Intelligence, Secure Coding, Network Security, Threat Detection, Cybersecurity",Integrating Gen AI into Cybersecurity,
Introduction to Cyber Security,4.7 out of 5 stars,3.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/intro-cyber-security,,"Cyber Attacks, Infrastructure Security, Computer Security, Cybersecurity, Cyber Security Policies, Network Security, Network Architecture, Mobile Security, Security Engineering, Authentications, Cryptography, Security Controls",Introduction to Cyber Attacks | Cyber Attack Countermeasures | Real-Time Cyber Threat Detection and Mitigation | Enterprise and Infrastructure Security,"Dr. Edward G. Amoroso, New York University"
Cybersecurity for Tech Professionals,4.7 out of 5 stars,174 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-tech-professionals,7 modules,"Incident Response, Security Awareness, Cybersecurity, Identity and Access Management, Cyber Security Policies, Mobile Security, Security Information and Event Management (SIEM), Email Security, Threat Management, Threat Detection, Computer Security Awareness Training, Incident Management, Data Security",INTRODUCCIÃN | ESSENTIALS I | ESSENTIALS II | SECOPS FUNDAMENTALS | CRISIS MANAGEMENT | DATA INFORMATION SECURITY | FIGHT FRAUD,Campus BBVA
Cybersecurity in Healthcare (Hospitals & Care Centres),4.6 out of 5 stars,390 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-in-healthcare,5 modules,"Cyber Attacks, General Data Protection Regulation (GDPR), Data Security, Patient Safety, Cyber Risk, Cybersecurity, Information Privacy, Health Technology, Malware Protection, Encryption, Cyber Security Policies, Human Factors (Security), Safety and Security, Telehealth, Security Awareness, Computer Security Awareness Training, Email Security","Cybersecurity in healthcare: technology, data, and human behaviour | Social aspects of cybersecurity: social engineering and social media | Data breaches, hackers, and malware in healthcare | Cyber hygiene: practices to improve cybersecurity | Security culture: creating positive environment to practice cybersecurity","Tessa A. P. Oomen, Erasmus University Rotterdam"
Cybersecurity for Managers,4.7 out of 5 stars,449 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-for-managers,6 modules,"Identity and Access Management, Cyber Risk, Malware Protection, Business Process, Multi-Factor Authentication, Encryption, Threat Management, Risk Analysis, Cyber Attacks, Cybersecurity, Incident Response, Security Awareness, Computer Security Incident Management",INTRODUCCIÃN | ESSENTIALS I | ESSENTIALS II | PERSONAL DEFENSE | CRISIS MANAGEMENT | BUSINESS PROCESS SECURITY,Campus BBVA
Metasploit for Beginners: Ethical Penetration Testing,4.8 out of 5 stars,55 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/metasploit-for-beginners-ethical-penetration-testing,,"Cyber Security Assessment, Vulnerability Assessments, Vulnerability Scanning, Technical Communication, Cybersecurity, Penetration Testing, Command-Line Interface, Virtual Machines, Linux",,"Ryan Nigro, Coursera Project Network"
Wireshark for Beginners: Capture Packets,4.6 out of 5 stars,124 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/wireshark-for-beginners-capture-packets,,"TCP/IP, Software Installation, General Networking, Linux, Network Protocols, Network Monitoring, Network Security, Network Analysis",,"David Dalsveen, Coursera Project Network"
Introduction to Cybersecurity & Risk Management,4.7 out of 5 stars,299 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/information-security,,"Vendor Management, Security Awareness, Risk Management Framework, Cyber Security Policies, Regulatory Compliance, Risk Mitigation, Vulnerability Assessments, Asset Protection, Security Management, Security Strategy, Business Continuity Planning, Cyber Risk",Security Governance & Compliance | Introduction to Risk Management | Personnel & Third-Party Security,"Qasim Ijaz, Jacob Horne, University of California, Irvine"
Analyze Network Traffic with TCPDump: Build a Logging Tool,4.6 out of 5 stars,7 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/analyze-network-traffic-tcpdump-build-logging-tool,,"Scripting, Network Monitoring, Linux, Network Analysis, Shell Script, TCP/IP, Network Security, Linux Commands, Network Protocols",,"Harrison Kong, Coursera Project Network"
"Penetration Testing, Threat Hunting, and Cryptography",4.6 out of 5 stars,2.5K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/ibm-penetration-testing-threat-hunting-cryptography,6 modules,"Cyber Threat Hunting, Open Web Application Security Project (OWASP), Threat Modeling, Network Analysis, Threat Detection, Application Security, Penetration Testing, Test Planning, Code Review, Cyber Operations, Cyber Threat Intelligence, Cybersecurity, Vulnerability Assessments, Vulnerability Scanning, Security Testing, Cryptography, Threat Management, MITRE ATT&CK Framework, Encryption, Security Information and Event Management (SIEM)",Penetration Testing: Planning and Discovery Phases | Penetration Testing: Attack Phase | Penetration Testing: Reporting Phase | Threat Hunting and Threat Intelligence | Cryptography: Principles and Techniques | Final Project and Wrap-Up,"Dr. Manish Kumar, IBM Skills Network Team, Dee Dee Collette"
Introduction to Bash Shell Scripting,4.5 out of 5 stars,668 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-bash-shell-scripting,,"Scripting, Scripting Languages, Shell Script, File Systems, Unix Commands, Bash (Scripting Language), Linux Commands, Linux, File Management, Unix, Command-Line Interface",,"Kerri-Leigh Grady, Coursera Project Network"
"Cybersecurity Compliance Framework, Standards & Regulations",4.7 out of 5 stars,3.4K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity-compliance-framework-standards-regulations,5 modules,"Cybersecurity, Risk Management, Cyber Governance, Payment Card Industry (PCI) Data Security Standards, Information Technology Infrastructure Library, NIST 800-53, Artificial Intelligence, Information Technology, Open Web Application Security Project (OWASP), Cyber Risk, Security Management, IT Service Management, General Data Protection Regulation (GDPR), Control Objectives for Information and Related Technology (COBIT), ISO/IEC 27001, Risk Management Framework, Data Ethics",Introduction to Information Security and Compliance | Foundations of IT Service Management and Risk GovernanceÂ | Understanding Cybersecurity Laws and RegulationsÂ | Understanding Cybersecurity Standards and AuditsÂ | Final Project,"IBM Skills Network Team, Dee Dee Collette"
Cybersecurity Risk Management Frameworks,4.7 out of 5 stars,183 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/cybersecurity-risk-management-frameworks,,"Cyber Attacks, ISO/IEC 27001, Threat Detection, Enterprise Risk Management (ERM), Security Awareness, Risk Management Framework, Cybersecurity, Risk Mitigation, Vulnerability Assessments, Operational Risk, Security Management, Threat Management",Cybersecurity Foundations for Risk Management | A General Approach to Risk Management | Dominant Risk Management Standards and Frameworks | Implementing a Risk Management Framework,"Herbert J. Mattord, Ph.D., CISM, CISSP, CDP, Michael Whitman, Ph.D., CISM, CISSP, Kennesaw State University"
Kali Linux,4.2 out of 5 stars,196 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/kali-linux,2 modules,"Cyber Security Assessment, Software Installation, Network Security, Virtual Private Networks (VPN), Linux, Network Monitoring, Cyber Attacks, Penetration Testing, Command-Line Interface, Linux Commands, Cybersecurity, Network Analysis, Vulnerability Assessments, Encryption",Exploring the Basics of Kali Linux | Practical Applications and Security Basics,Board Infinity
Cybersecurity Awareness and Innovation,4.6 out of 5 stars,751 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cybersecurity,6 modules,"Computer Security Awareness Training, Email Security, Threat Detection, User Accounts, Security Awareness, Data Security, Cyber Attacks, Entrepreneurship, Threat Management, Cybersecurity, Identity and Access Management",Identity and Authentication | Identity and social attacks | Protection basics for information and IT devices | The modern world: mobility and clouds | Cybersecurity Today and Challenges | Innovation & Entrepreneurship,"IvÃ¡n MartÃ­nez, IvÃ¡n Pau, RomÃ¡n RamÃ­rez, EIT Digital"
Advanced Python Scripting for Cybersecurity,4.5 out of 5 stars,73 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/advanced-python-scripting-for-cybersecurity,,"Threat Detection, Automation, Network Analysis, Penetration Testing, System Programming, Cybersecurity, Network Monitoring, Network Security, Scripting, TCP/IP, MITRE ATT&CK Framework, Cyber Operations",Advanced Python - Reconnaissance | Establishing Command-and-Control and Finding Credentials | Defensive Python,Howard Poston
GenAI for Cybersecurity Analysts,4.9 out of 5 stars,16 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/genai-for-cybersecurity-analysts,1 module,"Penetration Testing, Cyber Threat Intelligence, Prompt Engineering, Security Information and Event Management (SIEM), Threat Detection, Data Ethics, Incident Response, Security Testing, Vulnerability Assessments, Cybersecurity, Generative AI",Cybersecurity Analysts: Enhancing Cybersecurity with GenAI,"Karlis Zars, Coursera Instructor Network"
