課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Introduction to Generative AI,4.7 out of 5 stars,7.9K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-generative-ai,1 module,"Generative AI, Google Cloud Platform, Artificial Intelligence, Application Development, Machine Learning Methods",Introduction to Generative AI,"Google Cloud Training, Google Cloud"
Generative AI Leader,4.6 out of 5 stars,54 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/generative-ai-for-leaders,,"Innovation, Collaboration, Artificial Intelligence, Unstructured Data, Organizational Strategy, Cloud Infrastructure, Cloud Computing, Generative AI, Cloud Solutions, Data Management, Generative AI Agents, Workflow Management",Gen AI: Beyond the Chatbot | Gen AI: Unlock Foundational Concepts | Gen AI: Navigate the Landscape | Gen AI Apps: Transform Your Work | Gen AI Agents: Transform Your Organization,"Google Cloud Training, Google Cloud"
Introduction to Generative AI Learning Path,4.6 out of 5 stars,9.4K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/introduction-to-generative-ai,,"Artificial Intelligence, Machine Learning Methods, Governance, Organizational Effectiveness, Generative AI, Ethical Standards And Conduct, Prompt Engineering, Accountability, Decision Making, Google Cloud Platform, Data Ethics, Business Ethics",Introduction to Generative AI | Introduction to Large Language Models | Introduction to Responsible AI | Responsible AI: Applying AI Principles with Google Cloud,"Google Cloud Training, Google Cloud"
Generative AI Automation,4.8 out of 5 stars,6.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-automation,,"Ideation, ChatGPT, Data Synthesis, Artificial Intelligence, Verification And Validation, Productivity, Document Management, Data Capture, Computer Vision, Risk Management Framework, Generative AI, Data Validation",Prompt Engineering for ChatGPT | ChatGPT Advanced Data Analysis | Trustworthy Generative AI | GPT Vision: Seeing the World through Generative AI,"Dr. Jules White, Vanderbilt University"
Generative AI for Software Development,4.6 out of 5 stars,570 reviews,Beginner · Professional Certificate · 1 - 3 Months,https://www.coursera.org/professional-certificates/generative-ai-for-software-development,,"Software Documentation, ChatGPT, Artificial Intelligence, Software Design Patterns, Machine Learning, Database Design, System Design and Implementation, Software Architecture, Software Testing, Generative AI, Software Engineering, Prompt Engineering",Introduction to Generative AI for Software Development | Team Software Engineering with AI | AI-Powered Software and System Design,Laurence Moroney
Microsoft Generative AI for Data Analysis,4.3 out of 5 stars,71 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-genai-for-data-analysis,,"Predictive Analytics, Automation, Infographics, Data Visualization, Generative AI, Predictive Modeling, Interactive Data Visualization, Business Reporting, Excel Formulas, Prompt Engineering, Data Visualization Software, Microsoft Copilot",Introduction to Generative AI for Data Analysis | Data Processing and Optimization with Generative AI | Advanced Data Analysis with Generative AI | Data Visualization and Reporting with Generative AI | Coding and Automation for Data Analysis with Generative AI | Scenario and Root Cause Analysis with Generative AI,
AI Agents and Agentic AI in Python: Powered by Generative AI,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/ai-agents-python,,"ChatGPT, Artificial Intelligence, Productivity, Persona (User Experience), Prototyping, Agentic systems, Generative AI, Business Logic, Generative AI Agents, Software Development Tools, OpenAI, Transaction Processing",AI Agents and Agentic AI with Python & Generative AI | Prompt Engineering for ChatGPT | AI Agents and Agentic AI Architecture in Python,"Dr. Jules White, Vanderbilt University"
Generative AI for Executives and Business Leaders,4.7 out of 5 stars,477 reviews,Intermediate · Specialization · 1 - 4 Weeks,https://www.coursera.org/specializations/generative-ai-for-executives-and-business-leaders,,"Ideation, Artificial Intelligence, Return On Investment, Business Solutions, Generative AI, Risk Mitigation, Business Priorities, Generative AI Agents, Data Strategy, Prompt Engineering, Feasibility Studies, Goal Setting",GenAI for Executives & Business Leaders: An Introduction | GenAI for Execs & Business Leaders: Integration Strategy | GenAI for Execs & Business Leaders: Formulate Your Use Case,"IBM AI Academy, Bethany Hudnutt"
Generative AI for Product Managers,4.7 out of 5 stars,7.4K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-product-managers,,"Team Building, ChatGPT, Artificial Intelligence, Return On Investment, Generative AI, Product Development, Product Improvement, IBM Cloud, New Product Development, OpenAI, Product Lifecycle Management, Prompt Engineering",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Product Management: Building AI-Powered Products | Generative AI: Supercharge Your Product Management Career,"Daniel C. Yeomans, Skill-Up EdTech Team, Rav Ahuja, Antonio Cangiano, SkillUp EdTech"
Generative AI for Project Managers,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-project-managers,,"Team Building, ChatGPT, Artificial Intelligence, Machine Learning, Content Creation, Generative AI, IBM Cloud, Workflow Management, OpenAI, Image Analysis, Prompt Engineering, Microsoft Copilot",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Unleash Your Project Management Potential,"Daniel C. Yeomans, Skill-Up EdTech Team, Rav Ahuja, Antonio Cangiano, SkillUp EdTech"
Generative AI for Data Analysts,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-data-analysts,,"ChatGPT, Artificial Intelligence, Content Creation, Query Languages, Generative AI, IBM Cloud, Analytics, OpenAI, Image Analysis, Prompt Engineering, Data Visualization Software, SQL",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Enhance your Data Analytics Career,"Dr. Pooja, Abhishek Gagneja, Rav Ahuja, Antonio Cangiano"
Generative AI Assistants,4.8 out of 5 stars,6.7K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-assistants,,"Travel Arrangements, Innovation, Ideation, ChatGPT, Artificial Intelligence, Verification And Validation, Productivity, Risk Management Framework, Generative AI, AI Personalization, Data Validation, Prompt Engineering",Prompt Engineering for ChatGPT | OpenAI GPTs: Creating Your Own Custom AI Assistants | Trustworthy Generative AI,"Dr. Jules White, Vanderbilt University"
Generative AI: Foundation Models and Platforms,4.7 out of 5 stars,221 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-foundation-models-and-platforms,3 modules,"OpenAI, Computing Platforms, Prompt Engineering, Large Language Modeling, Generative AI, Artificial Neural Networks, Tensorflow, Artificial Intelligence, ChatGPT, IBM Cloud, Deep Learning, Natural Language Processing","Models for Generative AI | Platforms for Generative AI | Course Quiz, Project, and Wrap-up",Rav Ahuja
Generative AI for Product Owners,4.7 out of 5 stars,7.2K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-product-owners,,"ChatGPT, Artificial Intelligence, Content Creation, Generative AI, Product Requirements, IBM Cloud, Stakeholder Engagement, OpenAI, Market Intelligence, Image Analysis, Prompt Engineering, Strategic Thinking",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Revolutionizing the Product Owner Role,"Daniel C. Yeomans, Skill-Up EdTech Team, Rav Ahuja, Antonio Cangiano, SkillUp EdTech"
Content Creation With Generative AI,4.6 out of 5 stars,53 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/content-creation-with-generative-ai,3 modules,"Social Media Content, Copywriting, Innovation, Content Marketing, Prompt Engineering, ChatGPT, Business Ethics, Content Creation, Marketing Communications, Generative AI Agents, Marketing, Marketing Design, Marketing Materials","Content Creation With Generative AI | Lesson 1:  Choosing GenAI Tools for Creating High-Impact Content | Lesson 2:  Leveraging Generative AI: Enhancing Creativity, Innovation, and Best Practices","Jana Porter, Coursera Instructor Network"
Generative AI Leadership & Strategy,4.8 out of 5 stars,6.8K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-leadership-strategy,,"Ideation, ChatGPT, Artificial Intelligence, Verification And Validation, Productivity, Organizational Leadership, Generative AI, Business Writing, Data Validation, Meeting Facilitation, Succession Planning, Prompt Engineering",Generative AI for Leaders | Prompt Engineering for ChatGPT | Trustworthy Generative AI,"Dr. Jules White, Bob Higgins, Vanderbilt University"
Generative AI for Software Developers,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-software-developers,,"ChatGPT, Artificial Intelligence, Software Architecture, CI/CD, Software Testing, Generative AI, Software Engineering, IBM Cloud, Software Development Tools, OpenAI, Test Automation, Prompt Engineering",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI:Â Elevate your Software Development Career,"Rav Ahuja, Antonio Cangiano, Ramanujam Srinivasan"
Generative AI for Data Scientists,4.7 out of 5 stars,7.4K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-data-scientists,,"ChatGPT, Data Synthesis, Predictive Analytics, Artificial Intelligence, Machine Learning, Generative AI, Predictive Modeling, Feature Engineering, IBM Cloud, OpenAI, Prompt Engineering, Data Ethics",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Elevate Your Data Science Career,"Dr. Pooja, Abhishek Gagneja, Rav Ahuja, Antonio Cangiano"
Generative AI in Business,4.7 out of 5 stars,53 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-in-business,,"Innovation, Solution Design, Business Process Management, Business Process Automation, Performance Analysis, Business Strategies, Solution Delivery, Generative AI, Customer experience strategy (CX), Project Risk Management, Data Integration, Data Strategy",GenAI in Business: Discover the Possibilities | GenAI in Business: Planning Framework for Implementation | GenAI in Business: Strategies for Successful Execution,"Andrew Wu, University of Michigan"
Generative AI Strategic Leader,4.8 out of 5 stars,6.6K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-strategic-leader,,"ChatGPT, Artificial Intelligence, Productivity, Automation, Organizational Leadership, Business Process Automation, Agentic systems, Business Intelligence, Generative AI, Strategic Decision-Making, Generative AI Agents, Procurement",Generative AI Deep Research: Strategic AI Edge for Leaders | Prompt Engineering for ChatGPT | Generative AI Primer | Agentic AI and AI Agents: A Primer for Leaders,"Dr. Jules White, Vanderbilt University"
Data Frameworks for Generative AI,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-frameworks-for-generative-ai,2 modules,"Data Science, Data Access, Data Architecture, Data Security, Information Architecture, Prompt Engineering, Taxonomy, Generative AI, Data Management, Data Quality, Data Infrastructure, Agentic systems, Data Governance, Large Language Modeling, Data Strategy, Machine Learning",Understanding Modern Data Strategy Fundamentals | Comprehensive Data Frameworks,"Fractal Analytics Academy, David Drummond, Fractal Analytics"
Generative AI Content Creation,4.7 out of 5 stars,219 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-content-creation,4 modules,"Verification And Validation, Graphic and Visual Design, Artificial Intelligence, Graphic and Visual Design Software, Data Ethics, Generative AI, Graphic Design, Creativity, Data Integrity, Image Analysis, Adobe Creative Cloud, Prompt Engineering",Introduction to Generative AI | Generative AI in Adobe Express | Content Creation with Generative AI | Using AI responsibly,
Microsoft 365 with Generative AI,4.8 out of 5 stars,13 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-365-copilot-for-productivity,,"Microsoft PowerPoint, Microsoft 365, Presentations, Predictive Modeling, Microsoft Outlook, Microsoft Teams, Meeting Facilitation, Microsoft Word, Proposal Development, Prompt Engineering, Data Visualization Software, Microsoft Copilot",Fundamentals of Microsoft 365 Generative AI | Data Analysis and Visualization with Generative AI in Excel | Generative AI for PowerPoint and Word to Optimize Content Creation | Generative AI for Advanced Collaboration in Teams and Outlook,
Generative AI for Leaders,4.8 out of 5 stars,479 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-for-leaders,3 modules,"Leadership, Business Transformation, Internal Communications, Organizational Leadership, Succession Planning, Meeting Facilitation, Decision Making, Business Leadership, Business Writing, Human Resource Strategy, Communication, Proposal Writing, Generative AI, Strategic Thinking, Artificial Intelligence","Introduction | Using Generative AI as a Leader | Addressing Staff Anxiety: Augmented Intelligence, Not Artificial Intelligence","Dr. Jules White, Bob Higgins, Vanderbilt University"
IBM AI Engineering,4.6 out of 5 stars,20K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ai-engineer,,"Data Manipulation, Regression Analysis, Tensorflow, Machine Learning, Reinforcement Learning, Generative AI, Unsupervised Learning, Deep Learning, Applied Machine Learning, Generative AI Agents, PyTorch (Machine Learning Library), Image Analysis",Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Deep Learning with Keras and Tensorflow | Introduction to Neural Networks and PyTorch | Deep Learning with PyTorch | AI Capstone Project with Deep Learning | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain,"Sina Nazeri, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Ricky Shi, Romeo Kienzler, Joseph Santarcangelo, Alex Aklson, Roodra Pratap Kanwar, Samaya Madhavan, JEREMY NILMEIER, Jeff Grossman"
Generative AI Primer,4.8 out of 5 stars,300 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai,1 module,"Artificial Intelligence, Collaboration, Human Machine Interfaces, Creative Problem-Solving, Natural Language Processing, Innovation, Generative AI, Prompt Engineering, Creativity, Large Language Modeling, ChatGPT",Generative AI Primer,"Dr. Jules White, Vanderbilt University"
IBM Generative AI for Cybersecurity Professionals,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals,,"ChatGPT, Artificial Intelligence, Threat Detection, Content Creation, Cybersecurity, Generative AI, IBM Cloud, OpenAI, Malware Protection, Security Information and Event Management (SIEM), Prompt Engineering, Incident Response",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Boost Your Cybersecurity Career,"Dr. Manish Kumar, Rav Ahuja, Antonio Cangiano"
Generative AI Data Analyst,4.8 out of 5 stars,6.6K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-data-analyst,,"ChatGPT, Data Synthesis, Artificial Intelligence, Productivity, Document Management, Data Visualization, Generative AI, Pivot Tables And Charts, Data Integration, Excel Formulas, Prompt Engineering, SQL","Chat with Your Data: Generative AI-Powered SQL Data Analysis | ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT Advanced Data Analysis | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University"
Generative AI for Leaders,4.8 out of 5 stars,479 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-for-leaders,3 modules,"Leadership, Business Transformation, Internal Communications, Organizational Leadership, Succession Planning, Meeting Facilitation, Decision Making, Business Leadership, Business Writing, Human Resource Strategy, Communication, Proposal Writing, Generative AI, Strategic Thinking, Artificial Intelligence","Introduction | Using Generative AI as a Leader | Addressing Staff Anxiety: Augmented Intelligence, Not Artificial Intelligence","Dr. Jules White, Bob Higgins, Vanderbilt University"
Generative AI for Data Engineers,4.7 out of 5 stars,7.3K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-data-engineers,,"Star Schema, ChatGPT, Data Synthesis, Artificial Intelligence, Database Design, Data Pipelines, Data Architecture, Query Languages, Generative AI, IBM Cloud, OpenAI, Prompt Engineering",Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Generative AI: Elevate your Data Engineering Career,"Abhishek Gagneja, Rav Ahuja, Antonio Cangiano"
Generative AI Primer,4.8 out of 5 stars,300 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai,1 module,"Artificial Intelligence, Collaboration, Human Machine Interfaces, Creative Problem-Solving, Natural Language Processing, Innovation, Generative AI, Prompt Engineering, Creativity, Large Language Modeling, ChatGPT",Generative AI Primer,"Dr. Jules White, Vanderbilt University"
Generative AI for Developers,4.4 out of 5 stars,101 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-for-developers,,"ChatGPT, Artificial Intelligence, Automation, Generative AI, AI Personalization, Critical Thinking, Deep Learning, Artificial Neural Networks, Debugging, Prompt Engineering, Code Review, Problem Solving",Generative AI Essentials: A Comprehensive Introduction | Coding with Generative AI | Generative AI - Your Personal Code Reviewer | Responsible AI in the Generative AI Era,"Fractal Analytics Academy, Dr. Arjun Sivasundar, Fractal Analytics"
Generative AI and ChatGPT for K-12 Educators,4.8 out of 5 stars,6.6K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/generative-ai-k12-educators,,"Innovation, Game Design, ChatGPT, Interactive Design, Artificial Intelligence, Productivity, Creative Problem-Solving, Generative AI, AI Personalization, Prompt Engineering, Creativity, Student Engagement","Innovative Teaching with ChatGPT | Generative AI for Kids, Parents, and Teachers | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University"
Generative AI and LLMs: Architecture and Data Preparation,4.7 out of 5 stars,220 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-llm-architecture-data-preparation,2 modules,"Data Pipelines, Generative AI, Natural Language Processing, PyTorch (Machine Learning Library), Artificial Neural Networks, Artificial Intelligence, Text Mining, Deep Learning, Large Language Modeling",Generative AI Architecture | Data Preparation for LLMs,"Joseph Santarcangelo, Roodra Pratap Kanwar"
Generative AI for Software Developers,4.5 out of 5 stars,77 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/microsoft-copilot-for-software-development,,"Process Driven Development, Software Documentation, Artificial Intelligence, Microsoft Visual Studio, Continuous Integration, Version Control, Generative AI, Integrated Development Environments, Software Development Tools, Prompt Engineering, Development Environment, Microsoft Copilot",Introduction to Generative AI for Developers With Copilot | Boost Your Productivity with GitHub Copilot | GitHub Copilot for Project Management | Optimizing Your Workflow with GitHub Copilot and VS Code,
Building Generative AI-Powered Applications with Python,4.7 out of 5 stars,194 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/building-gen-ai-powered-applications,7 modules,"Generative AI, HTML and CSS, Artificial Intelligence and Machine Learning (AI/ML), Web Development, IBM Cloud, Large Language Modeling, Application Development, Flask (Web Framework), Python Programming, Prompt Engineering, Natural Language Processing, OpenAI, Web Applications",Image Captioning with Generative AI | Create Your Own ChatGPT-Like Website | Create a Voice Assistant | Generative AI-Powered Meeting Assistant | Summarize Your Private Data with Generative AI and RAG | Babel Fish (Universal Language Translator) with LLM and STT TTS | [Bonus] Module 7: Build an AI Career Coach,"IBM Skills Network Team, Sina Nazeri"
Generative AI Cybersecurity & Privacy for Leaders,4.8 out of 5 stars,6.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/generative-ai-cybersecurity-leaders,,"ChatGPT, Artificial Intelligence, Threat Detection, Productivity, Cybersecurity, Generative AI, AI Personalization, Prompt Engineering, Cross-Functional Collaboration, Expense Management, Creative Thinking, Personally Identifiable Information",Generative AI Cybersecurity & Privacy for Leaders: A Primer | ChatGPT + Cybersecurity: AI-Powered Tabletops & Training | Prompt Engineering for ChatGPT | OpenAI GPTs: Creating Your Own Custom AI Assistants,"Dr. Jules White, Dr. Sam Hays, Vanderbilt University"
Introduction to Generative AI - Art of the Possible,4.5 out of 5 stars,74 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/aws-introduction-to-generative-ai-art-of-the-possible,1 module,"OpenAI, Generative AI, ChatGPT, Artificial Intelligence, Amazon Web Services, Business Strategy, Business Strategies, Machine Learning Methods",Introduction to Generative AI - Art of the Possible,"AWS Instructor, Amazon Web Services"
Generative AI and LLMs: Architecture and Data Preparation,4.7 out of 5 stars,220 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/generative-ai-llm-architecture-data-preparation,2 modules,"Data Pipelines, Generative AI, Natural Language Processing, PyTorch (Machine Learning Library), Artificial Neural Networks, Artificial Intelligence, Text Mining, Deep Learning, Large Language Modeling",Generative AI Architecture | Data Preparation for LLMs,"Joseph Santarcangelo, Roodra Pratap Kanwar"
IBM AI Developer,4.6 out of 5 stars,71K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,"ChatGPT, Flask (Web Framework), Machine Learning, Software Architecture, Data Import/Export, Software Development Life Cycle, Generative AI, Bootstrap (Front-End Framework), Software Engineering, Software Development Tools, Cascading Style Sheets (CSS), Software Design","Introduction to Software Engineering | Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Introduction to HTML, CSS, & JavaScript | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sina Nazeri, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Antonio Cangiano, Upkar Lidder, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan"
